player,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Aaron Mooy,MF,Australia,32-083,1990,4.0,1,0,0,4,1,0,10,3,6,0,0,0,35,2,3,40.0
Aaron Ramsey,MF,Wales,31-346,1990,3.0,1,0,0,3,3,0,5,0,0,0,0,0,19,0,2,0.0
Abdelhamid Sabiri,MF,Morocco,26-009,1996,1.5,1,0,0,2,1,0,1,5,0,0,0,0,5,2,1,66.7
Abdelkarim Hassan,DF,Qatar,29-101,1993,3.0,0,0,0,1,4,1,6,1,3,0,0,0,11,3,1,75.0
Abderrazak Hamdallah,FW,Morocco,31-355,1990,0.5,0,0,0,3,1,0,0,0,0,0,0,0,1,1,7,12.5
Abdessamad Ezzalzouli,FW,Morocco,20-355,2001,0.9,0,0,0,4,0,0,1,0,2,0,0,0,4,1,2,33.3
Abdou Diallo,DF,Senegal,26-217,1996,3.7,0,0,0,3,0,0,3,1,2,0,0,0,17,7,6,53.8
Abdul Fatawu Issahaku,FW,Ghana,18-274,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Abdulaziz Hatem,MF,Qatar,32-040,1990,2.2,0,0,0,4,1,0,1,1,1,0,0,0,4,1,2,33.3
Abdulelah Al-Amri,DF,Saudi Arabia,25-326,1997,2.0,2,0,0,3,3,0,1,4,0,0,0,0,15,10,4,71.4
Abdulellah Al-Malki,MF,Saudi Arabia,28-057,1994,1.9,2,0,0,8,4,0,1,2,1,0,0,0,9,0,1,0.0
Abdullah Madu,DF,Saudi Arabia,29-145,1993,0.5,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,50.0
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-189,1995,0.4,0,0,0,0,0,0,2,0,3,0,0,0,1,1,1,50.0
Abolfazl Jalali,DF,IR Iran,24-164,1998,0.2,1,0,0,1,4,0,2,0,0,0,0,0,3,0,0,
Achraf Hakimi,DF,Morocco,24-033,1998,4.0,0,0,0,2,8,0,7,6,11,0,0,0,21,4,4,50.0
Adrien Rabiot,MF,France,27-248,1995,3.3,0,0,0,4,0,0,5,5,8,0,0,0,15,9,6,60.0
Agustín Canobbio,MF,Uruguay,24-067,1998,0.1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0.0
Ahmad Nourollahi,MF,IR Iran,29-308,1993,2.5,0,0,0,2,0,0,3,6,3,0,0,0,15,1,0,100.0
Ahmed Alaaeldin,FW,Qatar,29-310,1993,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aimen Dahmen,GK,Tunisia,25-313,1997,3.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Ajdin Hrustic,MF,Australia,26-155,1996,0.7,0,0,0,1,2,0,1,1,0,0,0,0,3,0,2,0.0
Akram Afif,FW,Qatar,26-019,1996,3.0,1,0,0,2,6,1,13,0,0,0,0,0,14,1,1,50.0
Alan Franco,MF,Ecuador,24-108,1998,0.5,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,50.0
Alejandro Balde,DF,Spain,19-050,2003,1.4,0,0,0,2,1,0,2,0,6,0,0,0,10,0,2,0.0
Aleksandar Mitrović,FW,Serbia,28-082,1994,2.9,1,0,0,3,1,1,1,0,0,0,0,0,6,5,12,29.4
Alex Sandro,DF,Brazil,31-315,1991,1.9,0,0,0,2,2,0,4,3,3,0,0,0,16,2,1,66.7
Alex Telles,DF,Brazil,29-357,1992,0.7,0,0,0,1,0,0,3,0,2,0,0,0,1,1,1,50.0
Alexander Bah,DF,Denmark,24-363,1997,0.5,0,0,0,1,0,0,4,2,4,0,0,0,3,4,0,100.0
Alexander Djiku,DF,Ghana,28-120,1994,1.1,0,0,0,0,2,0,0,2,1,0,0,0,3,2,0,100.0
Alexis Mac Allister,MF,Argentina,23-348,1998,2.6,0,0,0,1,5,0,1,2,2,0,0,0,18,0,4,0.0
Alexis Vega,FW,Mexico,25-012,1997,2.1,0,0,0,2,6,4,6,1,0,0,0,0,16,1,5,16.7
Ali Abdi,DF,Tunisia,28-352,1993,2.1,1,0,0,5,0,1,5,4,5,0,0,0,17,9,5,64.3
Ali Al Hassan,MF,Saudi Arabia,25-278,1997,0.5,1,0,0,2,0,0,1,0,1,0,0,0,1,0,0,
Ali Al-Bulaihi,DF,Saudi Arabia,33-016,1989,2.4,1,0,0,1,1,0,0,3,2,0,0,0,5,3,3,50.0
Ali Assadalla,MF,Qatar,29-322,1993,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Ali Gholizadeh,MF,IR Iran,26-272,1996,2.2,0,0,0,3,1,2,4,3,0,0,0,0,21,0,1,0.0
Ali Karimi,MF,IR Iran,28-299,1994,1.1,0,0,0,4,1,0,2,3,3,0,0,0,6,3,2,60.0
Ali Maâloul,DF,Tunisia,32-340,1990,1.0,0,0,0,0,0,0,13,0,1,0,0,0,5,0,1,0.0
Alidu Seidu,DF,Ghana,22-186,2000,1.7,2,0,0,5,5,0,6,0,4,0,0,0,6,1,0,100.0
Alireza Beiranvand,GK,IR Iran,30-077,1992,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alireza Jahanbakhsh,MF,IR Iran,29-118,1993,0.7,2,0,0,2,0,0,1,1,1,0,0,0,1,0,3,0.0
Alisson,GK,Brazil,30-066,1992,2.9,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,
Alistair Johnston,DF,Canada,24-060,1998,3.0,1,0,0,5,3,0,8,2,3,0,0,0,16,4,2,66.7
Almoez Ali,FW,Qatar,26-110,1996,2.5,1,0,0,2,2,3,0,1,0,0,0,0,6,2,9,18.2
Alphonso Davies,MF,Canada,22-035,2000,3.0,1,0,0,4,4,1,10,3,1,0,0,0,14,3,2,60.0
Amadou Onana,MF,Belgium,21-113,2001,1.2,2,0,0,4,3,0,0,0,1,0,0,0,7,2,0,100.0
Andre-Frank Zambo Anguissa,MF,Cameroon,27-021,1995,2.9,0,0,0,6,4,0,2,5,0,0,0,0,16,4,0,100.0
Andreas Christensen,DF,Denmark,26-241,1996,3.0,1,0,0,2,1,1,0,4,2,0,0,0,20,6,4,60.0
Andreas Cornelius,FW,Denmark,29-266,1993,1.0,1,0,0,4,2,0,1,0,0,0,0,0,2,11,8,57.9
Andreas Skov Olsen,FW,Denmark,22-343,1999,1.5,0,0,0,2,1,0,4,1,0,0,0,0,3,1,2,33.3
Andrej Kramarić,FW,Croatia,31-171,1991,3.0,0,0,0,0,1,0,5,0,1,0,0,0,10,0,4,0.0
Andries Noppert,GK,Netherlands,28-244,1994,4.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
Andrija Živković,DF,Serbia,26-149,1996,2.3,0,0,0,2,4,0,8,3,3,0,0,0,11,2,2,50.0
André Ayew,MF,Ghana,32-355,1989,2.2,1,0,0,2,6,1,0,0,1,0,0,0,6,3,13,18.8
André Onana,GK,Cameroon,26-249,1996,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
André Silva,FW,Portugal,27-031,1995,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.3
Andrés Guardado,MF,Mexico,36-070,1986,0.5,0,0,0,1,0,0,0,0,2,0,0,0,5,0,0,
Anis Ben Slimane,MF,Tunisia,21-266,2001,1.6,0,0,0,0,0,0,8,1,1,0,0,0,5,5,3,62.5
Ansu Fati,FW,Spain,20-037,2002,0.5,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,100.0
Ante Budimir,FW,Croatia,31-138,1991,0.5,0,0,0,3,1,0,0,0,1,0,0,0,0,2,4,33.3
Anthony Contreras,FW,Costa Rica,22-312,2000,1.4,1,0,0,1,1,0,1,1,2,0,0,0,4,5,6,45.5
Antoine Griezmann,MF,France,31-261,1991,3.2,0,0,0,0,3,2,26,4,5,0,0,0,18,1,2,33.3
Antoine Semenyo,FW,Ghana,22-334,2000,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,20.0
Antonee Robinson,DF,United States,25-121,1997,4.0,0,0,0,2,0,1,21,7,4,0,0,0,40,5,3,62.5
Antonio Rüdiger,DF,Germany,29-279,1993,3.0,0,0,0,0,3,1,0,0,1,0,0,0,20,6,1,85.7
Antony,FW,Brazil,22-286,2000,1.2,0,0,0,0,3,0,7,0,0,0,0,0,9,1,1,50.0
António Silva,DF,Portugal,19-038,2003,1.0,0,0,0,2,0,0,0,1,1,0,0,0,4,2,4,33.3
Ao Tanaka,MF,Japan,24-088,1998,1.9,0,0,0,1,1,0,2,3,1,0,0,0,9,3,1,75.0
Ardon Jasari,FW,Switzerland,20-130,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Arkadiusz Milik,FW,Poland,28-282,1994,1.1,1,0,0,1,2,1,0,0,0,0,0,0,3,4,5,44.4
Artur Jędrzejczyk,DF,Poland,35-033,1987,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Asiri Haitham,FW,Saudi Arabia,21-257,2001,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
Assim Madibo,MF,Qatar,26-046,1996,1.7,1,0,0,1,1,0,0,2,3,0,0,0,15,1,0,100.0
Atiba Hutchinson,MF,Canada,39-302,1983,1.8,0,0,0,2,2,0,0,1,1,0,0,0,10,5,0,100.0
Aurélien Tchouaméni,MF,France,22-314,2000,3.6,1,0,0,4,5,0,3,8,1,0,0,0,21,2,0,100.0
Awer Mabil,MF,Australia,27-083,1995,0.3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0.0
Axel Disasi,DF,France,24-271,1998,1.0,0,0,0,0,1,0,2,3,2,0,0,0,4,4,0,100.0
Axel Witsel,MF,Belgium,33-329,1989,3.0,0,0,0,5,4,0,0,4,2,0,0,0,12,4,2,66.7
Ayase Ueda,FW,Japan,24-088,1998,0.5,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,100.0
Aymeric Laporte,DF,Spain,28-194,1994,3.3,1,0,0,3,2,0,0,3,0,0,0,0,17,5,3,62.5
Aziz Behich,DF,Australia,31-356,1990,4.0,1,0,0,3,3,0,5,3,3,0,0,0,22,2,2,50.0
Azzedine Ounahi,MF,Morocco,22-232,2000,3.9,0,0,0,3,6,0,2,4,7,0,0,0,22,1,3,25.0
Aïssa Laïdouni,MF,Tunisia,25-359,1996,2.7,1,0,0,3,6,0,3,4,3,0,0,0,25,3,1,75.0
Baba Rahman,DF,Ghana,28-158,1994,2.0,0,0,0,7,1,0,11,1,3,0,0,0,6,2,4,33.3
Badr Banoun,DF,Morocco,29-068,1993,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bailey Wright,DF,Australia,30-132,1992,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,25.0
Bamba Dieng,FW,Senegal,22-259,2000,1.1,0,0,0,5,3,0,1,0,1,0,0,0,4,2,8,20.0
Bartosz Bereszyński,DF,Poland,30-148,1992,3.8,1,0,0,5,3,0,4,2,2,0,0,0,15,4,2,66.7
Bassam Al-Rawi,DF,Qatar,24-356,1997,1.0,0,0,0,1,2,0,0,0,0,0,0,0,3,1,0,100.0
Ben Davies,DF,Wales,29-227,1993,2.6,0,0,0,1,3,0,0,1,2,0,0,0,20,7,4,63.6
Benjamin Pavard,DF,France,26-254,1996,1.0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,
Bernardo Silva,MF,Portugal,28-119,1994,3.0,0,0,0,1,2,0,4,1,1,0,0,0,21,1,2,33.3
Borna Barišić,DF,Croatia,30-027,1992,1.3,1,0,0,5,2,0,11,0,1,0,0,0,3,6,2,75.0
Borna Sosa,DF,Croatia,24-320,1998,3.0,0,0,0,2,1,0,16,2,3,0,0,0,8,3,3,50.0
Boualem Khoukhi,DF,Qatar,32-151,1990,3.0,0,0,0,1,5,0,0,3,2,0,0,0,16,6,7,46.2
Boulaye Dia,FW,Senegal,26-021,1996,3.5,1,0,0,3,3,2,1,1,0,0,0,0,7,5,7,41.7
Brandon Aguilera,MF,Costa Rica,19-162,2003,1.0,0,0,0,2,2,1,1,1,0,0,0,0,8,2,1,66.7
Breel Embolo,FW,Switzerland,25-296,1997,3.6,0,0,0,3,12,2,0,0,0,0,0,0,6,2,8,20.0
Brenden Aaronson,MF,United States,22-046,2000,1.2,0,0,0,3,3,0,3,1,2,0,0,0,9,0,1,0.0
Brennan Johnson,FW,Wales,21-198,2001,1.0,0,0,0,2,1,0,1,0,0,0,0,0,3,0,2,0.0
Bruno Fernandes,FW,Portugal,28-090,1994,3.0,1,0,0,1,7,1,14,1,2,0,0,0,18,1,6,14.3
Bruno Guimarães,MF,Brazil,25-021,1997,0.8,1,0,0,2,2,0,3,0,0,0,0,0,6,1,0,100.0
Bruno Petković,FW,Croatia,28-082,1994,1.3,0,0,0,0,5,0,1,0,2,0,0,0,3,6,8,42.9
Bryan Mbeumo,FW,Cameroon,23-122,1999,2.6,0,0,0,1,8,0,12,1,0,0,0,0,7,5,9,35.7
Bryan Oviedo,DF,Costa Rica,32-292,1990,2.9,0,0,0,2,4,1,2,3,5,0,0,0,14,2,0,100.0
Bryan Ruiz,MF,Costa Rica,37-111,1985,0.3,0,0,0,0,1,0,0,0,1,0,0,0,1,2,2,50.0
Bukayo Saka,FW,England,21-093,2001,2.3,0,0,0,4,2,2,4,2,3,0,0,0,9,1,1,50.0
Callum Wilson,FW,England,30-283,1992,0.5,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,100.0
Cameron Carter-Vickers,DF,United States,24-341,1997,1.0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,4,50.0
Carlos Gruezo,MF,Ecuador,27-232,1995,0.5,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0.0
Carlos Martínez,DF,Costa Rica,23-252,1999,0.5,0,0,0,1,0,0,0,1,1,0,0,0,3,1,0,100.0
Carlos Soler,MF,Spain,25-339,1997,1.0,0,0,0,0,1,0,3,0,0,0,0,0,3,0,1,0.0
Casemiro,MF,Brazil,30-287,1992,3.0,0,0,0,5,2,0,0,6,3,0,0,0,18,2,3,40.0
Celso Borges,MF,Costa Rica,34-194,1988,2.8,1,0,0,2,0,0,2,4,1,0,0,0,17,6,0,100.0
Charles De Ketelaere,FW,Belgium,21-272,2001,0.2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0.0
Charly Rodríguez,MF,Mexico,25-338,1997,0.4,0,0,0,1,1,0,1,0,0,0,0,0,6,0,1,0.0
Cheikhou Kouyaté,MF,Senegal,32-351,1989,0.8,0,0,0,1,1,0,2,2,0,0,0,0,5,1,2,33.3
Cho Guesung,FW,Korea Republic,24-316,1998,3.1,1,0,0,7,6,4,1,0,0,0,0,0,4,21,12,63.6
Cho Yumin,FW,Korea Republic,26-020,1996,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chris Mepham,DF,Wales,25-032,1997,3.0,1,0,0,7,1,1,0,1,6,0,0,0,8,7,2,77.8
Christian Bassogog,MF,Cameroon,27-050,1995,0.3,1,0,0,0,1,0,2,1,0,0,0,0,2,0,0,
Christian Eriksen,MF,Denmark,30-296,1992,3.0,0,0,0,2,1,0,30,0,0,0,0,0,30,0,4,0.0
Christian Fassnacht,FW,Switzerland,29-026,1993,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Christian Nørgaard,MF,Denmark,28-272,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Christian Pulisic,FW,United States,24-080,1998,3.5,0,0,0,2,11,1,31,0,0,0,0,0,11,2,4,33.3
Christopher Wooh,DF,Cameroon,21-080,2001,1.0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,
Cody Gakpo,FW,Netherlands,23-214,1999,3.8,0,0,0,4,1,3,22,2,2,0,0,0,12,3,3,50.0
Collins Fai,DF,Cameroon,30-116,1992,3.0,2,0,0,4,4,0,13,4,2,0,0,0,21,1,1,50.0
Connor Roberts,DF,Wales,27-075,1995,2.2,0,0,0,0,1,0,7,1,3,0,0,0,8,1,1,50.0
Craig Goodwin,MF,Australia,30-356,1991,2.6,0,0,0,1,2,0,18,0,3,0,0,0,14,1,5,16.7
Cristian Romero,DF,Argentina,24-224,1998,2.9,0,0,0,5,1,0,0,1,1,0,0,0,10,8,4,66.7
Cristiano Ronaldo,FW,Portugal,37-305,1985,2.8,0,0,0,2,4,7,1,0,0,1,0,0,6,7,2,77.8
Cyle Larin,FW,Canada,27-234,1995,1.5,0,0,0,2,0,2,3,0,0,0,0,0,4,2,1,66.7
César Azpilicueta,DF,Spain,33-101,1989,1.5,0,0,0,2,0,0,3,1,0,0,0,0,5,2,2,50.0
César Montes,DF,Mexico,25-286,1997,3.0,0,0,0,4,0,0,0,2,3,0,0,0,13,7,5,58.3
Daichi Kamada,FW,Japan,26-124,1996,3.6,0,0,0,1,1,3,5,0,3,0,0,0,10,3,2,60.0
Daizen Maeda,FW,Japan,25-048,1997,2.0,0,0,0,2,3,2,0,3,2,0,0,0,4,1,6,14.3
Daley Blind,DF,Netherlands,32-273,1990,4.0,0,0,0,3,1,0,6,3,7,0,0,0,21,3,7,30.0
Damian Szymański,MF,Poland,27-174,1995,0.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Dani Alves,DF,Brazil,39-215,1983,1.3,0,0,0,5,2,0,6,2,4,0,0,0,9,1,1,50.0
Dani Carvajal,DF,Spain,30-330,1992,1.5,0,0,0,0,1,0,0,2,1,0,0,0,9,0,1,0.0
Dani Olmo,FW,Spain,24-214,1998,4.1,0,0,0,5,6,2,10,1,3,0,0,0,15,0,4,0.0
Daniel Amartey,DF,Ghana,27-351,1994,2.8,2,0,0,3,1,0,0,3,4,0,0,0,15,5,4,55.6
Daniel Chacón,MF,Costa Rica,21-240,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Daniel James,FW,Wales,25-027,1997,1.7,1,0,0,1,2,0,4,0,1,0,0,0,4,0,1,0.0
Daniel Kyereh,MF,Ghana,26-274,1996,0.4,0,0,0,0,0,0,5,0,2,0,0,0,3,0,1,0.0
Danilo,DF,Brazil,31-145,1991,1.8,0,0,0,1,0,0,6,1,0,0,0,0,11,2,0,100.0
Danilo Pereira,DF,Portugal,31-089,1991,1.0,1,0,0,1,2,0,0,3,2,0,0,0,4,5,1,83.3
Danny Ward,GK,Wales,29-168,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Darko Lazović,DF,Serbia,32-083,1990,0.3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Darwin Núñez,FW,Uruguay,23-166,1999,2.7,1,0,0,2,3,0,4,0,2,0,0,0,6,5,10,33.3
David Raum,DF,Germany,24-229,1998,2.7,0,0,0,5,3,1,24,7,3,1,0,0,12,5,3,62.5
