team,players_used,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense
Argentina,21,4.0,98,24.50,75,5,2,6,5,5,11,2.75,9,0,1,0,1,0
Australia,20,4.0,42,10.50,29,6,3,1,3,0,6,1.50,5,0,1,0,0,0
Belgium,20,3.0,65,21.67,46,8,4,4,2,1,2,0.67,2,0,0,0,0,0
Brazil,26,4.0,133,33.25,98,8,5,13,6,3,11,2.75,8,0,0,2,1,0
Cameroon,22,3.0,50,16.67,32,5,7,4,2,0,7,2.33,5,0,1,1,0,0
Canada,19,3.0,61,20.33,47,4,3,5,2,0,2,0.67,2,0,0,0,0,0
Costa Rica,22,3.0,20,6.67,13,2,0,3,2,0,3,1.00,1,0,0,2,0,0
Croatia,18,4.3,72,16.62,58,2,3,6,2,1,8,1.85,8,0,0,0,0,0
Denmark,20,3.0,57,19.00,42,7,1,7,0,0,1,0.33,0,0,0,1,0,0
Ecuador,18,3.0,47,15.67,31,4,1,6,4,1,6,2.00,3,0,0,2,1,0
England,20,4.0,79,19.75,45,11,10,5,5,3,22,5.50,16,1,4,0,1,0
France,24,4.0,127,31.75,99,10,5,9,3,1,18,4.50,17,0,0,1,0,0
Germany,20,3.0,124,41.33,96,7,6,8,4,3,12,4.00,11,0,0,0,1,0
Ghana,20,3.0,44,14.67,36,3,1,2,2,0,9,3.00,7,0,0,1,1,0
Iran,21,3.0,58,19.33,43,4,1,5,5,0,8,2.67,4,0,1,1,2,0
Japan,22,4.3,75,17.31,51,6,2,10,4,2,8,1.85,5,1,0,1,1,0
Korea Republic,21,4.0,86,21.50,65,7,2,6,4,2,8,2.00,5,0,0,0,2,1
Mexico,21,3.0,75,25.00,52,9,3,3,8,0,4,1.33,2,1,0,0,1,0
Morocco,21,4.3,50,11.54,35,3,5,2,5,0,6,1.38,3,1,1,0,1,0
Netherlands,19,4.0,59,14.75,47,6,0,6,0,0,12,3.00,10,0,0,2,0,0
Poland,21,4.0,52,13.00,32,6,7,3,4,0,4,1.00,2,0,2,0,0,0
Portugal,24,4.0,95,23.75,75,9,3,4,3,1,21,5.25,17,2,1,0,1,0
Qatar,20,3.0,38,12.67,30,3,0,0,2,3,2,0.67,2,0,0,0,0,0
Saudi Arabia,23,3.0,44,14.67,31,2,3,4,4,0,4,1.33,3,0,0,1,0,0
Senegal,20,4.0,87,21.75,66,5,5,3,7,1,9,2.25,6,1,0,0,2,0
Serbia,22,3.0,51,17.00,37,6,1,2,2,3,8,2.67,6,1,0,0,1,0
Spain,21,4.3,93,21.46,82,6,1,0,4,0,16,3.69,15,0,0,0,1,0
Switzerland,24,4.0,64,16.00,50,7,0,6,1,0,8,2.00,8,0,0,0,0,0
Tunisia,21,3.0,57,19.00,40,8,2,6,0,1,2,0.67,2,0,0,0,0,0
United States,20,4.0,82,20.50,68,4,6,4,0,0,6,1.50,6,0,0,0,0,0
Uruguay,19,3.0,63,21.00,50,5,2,2,4,0,3,1.00,2,0,0,1,0,0
Wales,18,3.0,45,15.00,31,5,0,4,4,1,2,0.67,0,1,0,0,1,0
