team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Argentina,21,4.0,2,0,0,41,59,16,59,28,29,2,0,1,175,56,42,57.1
Australia,20,4.0,7,0,0,52,34,1,54,40,30,0,0,0,200,72,72,50.0
Belgium,20,3.0,5,0,0,30,35,3,53,17,27,0,1,0,132,33,28,54.1
Brazil,26,4.0,3,0,0,39,52,5,82,27,40,1,0,0,211,32,43,42.7
Cameroon,22,3.0,8,1,1,32,38,2,53,40,20,0,0,0,142,42,36,53.8
Canada,19,3.0,8,0,0,33,37,8,54,18,23,0,0,0,145,30,21,58.8
Costa Rica,22,3.0,6,0,0,24,37,13,21,31,35,0,1,0,142,38,30,55.9
Croatia,18,4.3,4,0,0,47,42,6,95,31,37,0,0,0,227,61,62,49.6
Denmark,20,3.0,5,0,0,28,23,5,67,23,27,0,0,0,171,51,48,51.5
Ecuador,18,3.0,3,0,0,50,37,8,57,28,30,1,1,0,135,50,49,50.5
England,20,4.0,0,0,0,43,51,4,64,30,34,0,1,0,182,42,47,47.2
France,24,4.0,2,0,0,25,42,6,91,44,52,0,1,0,193,50,42,54.3
Germany,20,3.0,3,0,0,26,27,12,68,21,27,1,0,0,164,36,33,52.2
Ghana,20,3.0,8,0,0,46,38,4,49,19,34,1,1,0,146,36,62,36.7
Iran,21,3.0,7,0,0,38,26,6,48,42,29,1,0,0,178,43,49,46.7
Japan,22,4.3,6,0,0,58,36,9,55,34,38,0,1,0,220,59,76,43.7
Korea Republic,21,4.0,6,0,0,45,34,7,92,31,33,0,1,0,175,72,59,55.0
Mexico,21,3.0,7,0,0,51,48,13,79,25,27,0,1,0,151,48,51,48.5
Morocco,21,4.3,3,0,0,59,48,12,35,42,56,0,0,1,214,42,51,45.2
Netherlands,19,4.0,4,0,0,57,34,7,46,37,38,0,0,0,188,60,58,50.8
Poland,21,4.0,7,0,0,47,47,1,52,30,30,1,2,0,164,51,60,45.9
Portugal,24,4.0,5,0,0,46,51,12,67,26,35,1,0,0,209,53,42,55.8
Qatar,20,3.0,7,0,0,31,45,7,42,24,22,0,1,0,138,36,38,48.6
Saudi Arabia,23,3.0,14,0,0,56,38,3,39,31,23,1,1,0,132,45,49,47.9
Senegal,20,4.0,7,0,0,48,57,8,71,31,32,1,0,0,192,72,63,53.3
Serbia,22,3.0,11,0,0,43,28,4,56,22,22,0,0,0,161,43,38,53.1
Spain,21,4.3,2,0,0,41,46,11,69,19,32,1,0,0,225,41,39,51.3
Switzerland,24,4.0,9,0,0,53,49,6,52,24,25,0,0,0,190,45,49,47.9
Tunisia,21,3.0,5,0,0,40,28,7,61,25,36,0,0,0,170,48,57,45.7
United States,20,4.0,5,0,0,45,40,5,93,25,34,0,1,0,212,53,53,50.0
Uruguay,19,3.0,8,0,0,34,36,3,41,32,31,0,2,0,166,53,47,53.0
Wales,18,3.0,5,1,0,35,33,4,36,21,27,1,0,0,147,42,41,50.6
