team,players_used,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Argentina,21,4.0,2479,2867,86.5,38616,10744,1343,1455,92.3,950,1064,89.3,141,228,61.8,5,4.3,3.6,+0.7,43,168,40,7,122
Australia,20,4.0,1254,1696,73.9,22489,8922,546,643,84.9,499,612,81.5,145,306,47.4,3,1.9,1.1,+1.1,17,77,15,2,68
Belgium,20,3.0,1598,1885,84.8,30387,9967,575,637,90.3,866,955,90.7,148,237,62.4,1,3.8,2.9,-2.8,29,102,18,2,99
Brazil,26,4.0,2112,2465,85.7,34845,11476,1001,1097,91.2,906,1027,88.2,145,232,62.5,5,6.5,5.9,-1.5,56,160,45,8,153
Cameroon,22,3.0,960,1252,76.7,17831,7268,455,516,88.2,367,444,82.7,121,234,51.7,4,2.0,2.2,+2.0,21,90,11,3,62
Canada,19,3.0,1307,1586,82.4,22064,7915,635,704,90.2,519,578,89.8,117,210,55.7,1,2.8,2.6,-1.8,27,103,24,12,84
Costa Rica,22,3.0,823,1101,74.8,15308,6006,362,425,85.2,352,411,85.6,92,199,46.2,1,0.6,0.4,+0.4,7,35,7,2,38
Croatia,18,4.3,2141,2608,82.1,35635,11694,1072,1182,90.7,808,943,85.7,193,325,59.4,5,4.0,3.8,+1.0,33,127,40,14,140
Denmark,20,3.0,1598,1944,82.2,28745,9562,711,803,88.5,670,753,89.0,176,292,60.3,1,1.8,1.8,-0.8,27,154,25,6,133
Ecuador,18,3.0,1153,1473,78.3,19926,6755,548,615,89.1,468,544,86.0,112,235,47.7,2,1.8,1.6,+0.2,20,60,17,10,52
England,20,4.0,2312,2668,86.7,42179,12620,993,1068,93.0,1060,1157,91.6,230,341,67.4,11,5.0,4.1,+6.0,35,139,36,5,151
France,24,4.0,2207,2584,85.4,38971,11686,1034,1123,92.1,947,1041,91.0,203,328,61.9,9,7.5,6.9,+1.5,55,202,39,17,131
Germany,20,3.0,1686,1990,84.7,27871,9490,797,881,90.5,662,725,91.3,149,230,64.8,5,7.5,7.2,-2.5,52,126,48,14,132
Ghana,20,3.0,972,1256,77.4,16652,6225,475,533,89.1,376,443,84.9,99,210,47.1,2,1.7,1.5,+0.3,18,67,12,4,62
Iran,21,3.0,769,1106,69.5,14148,5637,312,382,81.7,332,425,78.1,96,225,42.7,2,2.4,2.7,-0.4,26,55,17,3,56
Japan,22,4.3,1324,1750,75.7,23079,7896,636,735,86.5,540,652,82.8,125,283,44.2,4,3.5,2.5,+0.5,31,101,24,8,79
Korea Republic,21,4.0,1619,2022,80.1,30139,10119,705,792,89.0,671,777,86.4,209,360,58.1,3,3.3,3.0,-0.3,36,150,38,12,112
Mexico,21,3.0,1097,1450,75.7,19868,7015,483,570,84.7,482,588,82.0,117,222,52.7,1,2.7,3.4,-1.7,25,95,19,10,77
Morocco,21,4.3,1137,1494,76.1,19739,7853,569,643,88.5,398,479,83.1,135,276,48.9,3,2.6,1.8,+0.4,20,53,15,6,53
Netherlands,19,4.0,1900,2292,82.9,31495,10832,949,1068,88.9,743,848,87.6,167,280,59.6,6,2.5,3.0,+3.5,29,147,23,4,111
Poland,21,4.0,1169,1531,76.4,21855,8533,495,564,87.8,499,580,86.0,139,289,48.1,1,1.8,2.3,-0.8,22,80,15,8,50
Portugal,24,4.0,2025,2411,84.0,35668,10792,1004,1085,92.5,746,848,88.0,230,369,62.3,10,4.4,3.3,+5.6,39,125,32,10,114
Qatar,20,3.0,1129,1407,80.2,19847,6322,519,580,89.5,426,494,86.2,135,228,59.2,1,1.2,1.6,-0.2,16,61,13,6,49
Saudi Arabia,23,3.0,870,1205,72.2,14844,5828,419,486,86.2,316,411,76.9,95,205,46.3,2,1.4,1.4,+0.6,18,70,23,5,76
Senegal,20,4.0,1310,1687,77.7,22903,7970,610,681,89.6,491,581,84.5,151,305,49.5,2,2.5,2.8,-0.5,36,93,29,10,81
Serbia,22,3.0,1181,1514,78.0,20846,7345,501,573,87.4,531,628,84.6,110,225,48.9,4,2.9,2.8,+1.1,25,86,21,8,73
Spain,21,4.3,3542,3957,89.5,62461,15639,1423,1519,93.7,1788,1921,93.1,268,357,75.1,5,4.0,4.4,+1.0,37,291,46,8,175
Switzerland,24,4.0,1663,2063,80.6,29186,9586,719,807,89.1,765,886,86.3,147,265,55.5,4,3.6,3.6,+0.4,27,109,20,2,116
Tunisia,21,3.0,998,1352,73.8,19453,7520,354,425,83.3,523,611,85.6,114,255,44.7,1,1.9,1.8,-0.9,22,89,20,4,88
United States,20,4.0,1816,2234,81.3,32313,10479,800,895,89.4,815,927,87.9,160,281,56.9,3,3.5,3.3,-0.5,37,130,30,6,120
Uruguay,19,3.0,1155,1498,77.1,20435,7194,527,623,84.6,457,563,81.2,136,222,61.3,1,2.8,2.7,-1.8,25,100,22,6,88
Wales,18,3.0,1044,1366,76.4,20874,7567,380,451,84.3,486,578,84.1,155,261,59.4,0,1.8,1.3,-1.8,18,62,12,5,65
