team,players_used,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
Argentina,21,4.0,2867,2657,194,62,6,11,59,87,23,4,10,0,2479,16,41
Australia,20,4.0,1696,1493,202,48,1,13,54,98,8,3,5,0,1254,1,41
Belgium,20,3.0,1885,1733,149,42,10,9,53,49,17,5,10,0,1598,3,34
Brazil,26,4.0,2465,2271,189,55,4,11,82,78,30,16,4,0,2112,5,30
Cameroon,22,3.0,1252,1105,145,45,4,10,53,47,12,5,5,0,960,2,24
Canada,19,3.0,1586,1424,154,41,1,11,54,76,12,5,5,0,1307,8,31
Costa Rica,22,3.0,1101,953,135,42,1,15,21,43,1,1,0,0,823,13,22
Croatia,18,4.3,2608,2392,210,48,9,16,95,114,17,4,4,0,2141,6,48
Denmark,20,3.0,1944,1796,143,27,0,29,67,73,21,3,9,8,1598,5,27
Ecuador,18,3.0,1473,1312,153,46,4,3,57,69,11,7,4,0,1153,8,23
England,20,4.0,2668,2483,181,58,4,24,64,70,20,7,12,0,2312,4,43
France,24,4.0,2584,2374,204,44,8,18,91,85,29,12,11,0,2207,6,35
Germany,20,3.0,1990,1827,151,37,5,13,68,66,25,8,14,2,1686,12,35
Ghana,20,3.0,1256,1101,151,41,1,4,49,56,13,9,4,0,972,4,25
Iran,21,3.0,1106,972,128,31,3,13,48,56,8,3,3,0,769,6,24
Japan,22,4.3,1750,1572,169,43,4,10,55,71,19,9,6,0,1324,9,29
Korea Republic,21,4.0,2022,1832,183,39,1,34,92,79,24,9,11,0,1619,7,33
Mexico,21,3.0,1450,1277,160,49,9,13,79,63,16,6,8,0,1097,13,33
Morocco,21,4.3,1494,1302,180,56,2,26,35,79,3,1,0,0,1137,12,26
Netherlands,19,4.0,2292,2106,179,47,6,11,46,78,17,6,8,0,1900,7,27
Poland,21,4.0,1531,1342,188,54,1,19,52,73,11,4,7,0,1169,1,43
Portugal,24,4.0,2411,2223,176,54,5,34,67,66,19,3,8,0,2025,12,31
Qatar,20,3.0,1407,1246,154,57,3,23,42,53,9,7,1,0,1129,7,38
Saudi Arabia,23,3.0,1205,1043,159,55,2,14,39,59,8,2,3,0,870,3,36
Senegal,20,4.0,1687,1488,191,61,5,23,71,71,21,10,6,0,1310,8,22
Serbia,22,3.0,1514,1381,129,30,8,17,56,58,9,4,5,0,1181,4,30
Spain,21,4.3,3957,3727,219,64,13,20,69,102,21,4,4,0,3542,11,54
Switzerland,24,4.0,2063,1856,201,56,1,16,52,83,20,15,2,0,1663,6,36
Tunisia,21,3.0,1352,1174,171,32,5,12,61,94,21,12,6,1,998,7,39
United States,20,4.0,2234,2053,176,46,3,16,93,81,22,14,6,1,1816,5,49
Uruguay,19,3.0,1498,1353,142,41,4,9,41,64,8,2,4,0,1155,3,31
Wales,18,3.0,1366,1213,149,36,2,19,36,73,6,4,1,0,1044,4,30
