team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Argentina,21,4.0,7,55,22,40.0,13.75,5.50,0.11,0.27,17.1,2,1,2,7.6,6.2,0.12,-0.6,-0.2
Australia,20,4.0,3,26,8,30.8,6.50,2.00,0.12,0.38,18.5,0,0,0,2.3,2.3,0.09,+0.7,+0.7
Belgium,20,3.0,1,35,9,25.7,11.67,3.00,0.03,0.11,15.6,1,0,0,4.7,4.7,0.14,-3.7,-3.7
Brazil,26,4.0,7,74,29,39.2,18.50,7.25,0.08,0.21,17.7,5,1,1,9.4,8.7,0.12,-2.4,-2.7
Cameroon,22,3.0,4,28,16,57.1,9.33,5.33,0.14,0.25,16.4,1,0,0,3.4,3.4,0.13,+0.6,+0.6
Canada,19,3.0,1,34,4,11.8,11.33,1.33,0.03,0.25,17.0,1,0,1,4.2,3.6,0.11,-3.2,-2.6
Costa Rica,22,3.0,3,12,7,58.3,4.00,2.33,0.25,0.43,17.0,0,0,0,1.4,1.4,0.13,+1.6,+1.6
Croatia,18,4.3,5,46,19,41.3,10.62,4.38,0.11,0.26,16.9,0,0,0,5.2,5.2,0.12,-0.2,-0.2
Denmark,20,3.0,1,34,10,29.4,11.33,3.33,0.03,0.10,17.1,0,0,0,2.7,2.7,0.09,-1.7,-1.7
Ecuador,18,3.0,4,29,10,34.5,9.67,3.33,0.10,0.30,18.2,1,1,1,3.7,2.9,0.11,+0.3,+0.1
England,20,4.0,12,47,21,44.7,11.75,5.25,0.26,0.57,14.5,2,0,0,6.3,6.3,0.14,+5.7,+5.7
France,24,4.0,9,70,23,32.9,17.50,5.75,0.13,0.39,15.4,2,0,0,8.6,8.6,0.13,+0.4,+0.4
Germany,20,3.0,6,68,23,33.8,22.67,7.67,0.07,0.22,16.6,1,1,1,10.1,9.3,0.14,-4.1,-4.3
Ghana,20,3.0,5,25,9,36.0,8.33,3.00,0.20,0.56,19.0,0,0,1,4.1,3.4,0.14,+0.9,+1.6
Iran,21,3.0,4,32,8,25.0,10.67,2.67,0.09,0.38,20.6,0,1,1,3.2,2.8,0.09,+0.8,+0.2
Japan,22,4.3,5,44,14,31.8,10.15,3.23,0.11,0.36,16.8,2,0,0,5.0,5.0,0.12,0.0,0.0
Korea Republic,21,4.0,5,50,18,36.0,12.50,4.50,0.10,0.28,18.3,2,0,0,4.6,4.6,0.09,+0.4,+0.4
Mexico,21,3.0,2,41,15,36.6,13.67,5.00,0.05,0.13,21.9,6,0,0,3.3,3.3,0.08,-1.3,-1.3
Morocco,21,4.3,4,30,10,33.3,6.92,2.31,0.13,0.40,21.6,3,0,0,3.1,3.1,0.10,+0.9,+0.9
Netherlands,19,4.0,8,36,14,38.9,9.00,3.50,0.22,0.57,16.1,0,0,0,4.0,4.0,0.12,+4.0,+4.0
Poland,21,4.0,3,29,5,17.2,7.25,1.25,0.07,0.40,15.5,1,1,2,4.5,2.9,0.11,-1.5,-0.9
Portugal,24,4.0,12,52,21,40.4,13.00,5.25,0.19,0.48,19.9,2,2,2,6.9,5.3,0.10,+5.1,+4.7
Qatar,20,3.0,1,20,6,30.0,6.67,2.00,0.05,0.17,21.5,0,0,0,1.4,1.4,0.07,-0.4,-0.4
Saudi Arabia,23,3.0,3,28,8,28.6,9.33,2.67,0.11,0.38,18.7,2,0,1,3.0,2.1,0.08,0.0,+0.9
Senegal,20,4.0,5,51,12,23.5,12.75,3.00,0.08,0.33,18.5,2,1,1,4.6,3.8,0.07,+0.4,+0.2
Serbia,22,3.0,5,32,9,28.1,10.67,3.00,0.16,0.56,16.5,0,0,0,3.4,3.4,0.11,+1.6,+1.6
Spain,21,4.3,9,48,16,33.3,11.08,3.69,0.17,0.50,18.3,1,1,1,6.2,5.4,0.11,+2.8,+2.6
Switzerland,24,4.0,5,37,12,32.4,9.25,3.00,0.14,0.42,15.9,2,0,0,5.6,5.6,0.16,-0.6,-0.6
Tunisia,21,3.0,1,32,8,25.0,10.67,2.67,0.03,0.13,18.0,0,0,0,2.3,2.3,0.07,-1.3,-1.3
United States,20,4.0,3,45,13,28.9,11.25,3.25,0.07,0.23,17.1,1,0,0,4.1,4.1,0.09,-1.1,-1.1
Uruguay,19,3.0,2,33,10,30.3,11.00,3.33,0.06,0.20,19.2,1,0,0,3.7,3.7,0.12,-1.7,-1.7
Wales,18,3.0,1,23,6,26.1,7.67,2.00,0.00,0.00,20.4,1,1,1,2.7,1.9,0.09,-1.7,-1.9
